"Código","Unidade Territorial","UF","Referência","Idosos que recebem o Benefício de Prestação Continuada (BPC) por Município pagador"
"310100","ÁGUAS VERMELHAS","MG","10/2020","82"
"310100","ÁGUAS VERMELHAS","MG","11/2020","82"
"310100","ÁGUAS VERMELHAS","MG","12/2020","85"
"310100","ÁGUAS VERMELHAS","MG","01/2021","84"
"310100","ÁGUAS VERMELHAS","MG","02/2021","85"
"310100","ÁGUAS VERMELHAS","MG","03/2021","85"
"310100","ÁGUAS VERMELHAS","MG","04/2021","86"
"310100","ÁGUAS VERMELHAS","MG","05/2021","86"
"310100","ÁGUAS VERMELHAS","MG","06/2021","88"
"310100","ÁGUAS VERMELHAS","MG","07/2021","90"
"310100","ÁGUAS VERMELHAS","MG","08/2021","87"
"310100","ÁGUAS VERMELHAS","MG","09/2021","91"
"310100","ÁGUAS VERMELHAS","MG","10/2021","89"
"310100","ÁGUAS VERMELHAS","MG","11/2021","90"
"310100","ÁGUAS VERMELHAS","MG","12/2021","93"
"310100","ÁGUAS VERMELHAS","MG","12/2019","72"
"310110","AIMORÉS","MG","11/2018","336"
"310110","AIMORÉS","MG","10/2018","336"
"310110","AIMORÉS","MG","11/2021","318"
"310110","AIMORÉS","MG","10/2021","322"
"310110","AIMORÉS","MG","09/2021","320"
"310110","AIMORÉS","MG","08/2021","326"
"310110","AIMORÉS","MG","07/2021","323"
"310110","AIMORÉS","MG","06/2021","323"
"310110","AIMORÉS","MG","05/2021","323"
"310110","AIMORÉS","MG","04/2021","324"
"310110","AIMORÉS","MG","03/2021","322"
"310110","AIMORÉS","MG","02/2021","319"
"310110","AIMORÉS","MG","01/2021","322"
"310110","AIMORÉS","MG","12/2020","322"
"310110","AIMORÉS","MG","11/2020","319"
"310110","AIMORÉS","MG","10/2020","320"
"310110","AIMORÉS","MG","09/2020","319"
"310110","AIMORÉS","MG","08/2020","317"
"310110","AIMORÉS","MG","07/2020","316"
"310110","AIMORÉS","MG","06/2020","316"
"310110","AIMORÉS","MG","05/2020","317"
"310110","AIMORÉS","MG","04/2020","317"
"310110","AIMORÉS","MG","03/2020","319"
"310110","AIMORÉS","MG","02/2020","320"
"310110","AIMORÉS","MG","01/2020","327"
"310110","AIMORÉS","MG","11/2019","326"
"310110","AIMORÉS","MG","10/2019","317"
"310110","AIMORÉS","MG","09/2019","317"
"310110","AIMORÉS","MG","08/2019","318"
"310110","AIMORÉS","MG","05/2018","340"
"310110","AIMORÉS","MG","12/2019","327"
"310110","AIMORÉS","MG","12/2021","318"
"310110","AIMORÉS","MG","06/2018","340"
"310110","AIMORÉS","MG","07/2018","342"
"310110","AIMORÉS","MG","01/2018","341"
"310110","AIMORÉS","MG","02/2018","343"
"310110","AIMORÉS","MG","03/2018","343"
"310110","AIMORÉS","MG","09/2018","341"
"310110","AIMORÉS","MG","08/2018","343"
"310110","AIMORÉS","MG","04/2018","341"
"310110","AIMORÉS","MG","07/2019","323"
"310110","AIMORÉS","MG","06/2019","324"
"310110","AIMORÉS","MG","05/2019","327"
"310110","AIMORÉS","MG","04/2019","327"
"310110","AIMORÉS","MG","03/2019","332"
"310110","AIMORÉS","MG","02/2019","336"
"310110","AIMORÉS","MG","01/2019","336"
"310110","AIMORÉS","MG","12/2018","336"
"310120","AIURUOCA","MG","01/2019","174"
"310120","AIURUOCA","MG","12/2021","161"
"310120","AIURUOCA","MG","01/2018","168"
"310120","AIURUOCA","MG","02/2018","172"
"310120","AIURUOCA","MG","03/2018","173"
"310120","AIURUOCA","MG","04/2018","174"
"310120","AIURUOCA","MG","05/2018","178"
"310120","AIURUOCA","MG","06/2018","177"
"310120","AIURUOCA","MG","07/2018","179"
"310120","AIURUOCA","MG","08/2018","180"
