Coluna;IBGE Setor
Município-Minas Gerais;1 - Extrativa mineral;2 - Indústria de transformação;3 - Servicos industriais de utilidade pública;4 - Construção Civil;5 - Comércio;6 - Serviços;7 - Administração Pública;8 - Agropecuária, extração vegetal, caça e pesca;Total
310720:MG-BOCAINA DE MINAS;0;85227,3699999973;0;0;75383,2300000032;212121,489999984;678659,599999987;39818,1199999992;1091209,80999997
310730:MG-BOCAIUVA;14125,9299999997;5267662,43999993;283338,010000024;267580,159999991;2660596,43000027;2653433,31999997;3722441,65000032;1347842,70999999;16217020,6500005
310740:MG-BOM DESPACHO;39374,79;5009010,96000006;10973,8399999999;571356,630000007;5759703,44000014;7472620,54000002;5233243,49999987;1777715,7799999;25873999,48
310750:MG-BOM JARDIM DE MINAS;0;174293,190000001;0;8400;288455,100000021;457815,440000006;775627,219999989;316265,190000026;2020856,14000004
310760:MG-BOM JESUS DA PENHA;0;7200,00999999978;0;43229,8599999957;228461,790000025;140102,190000001;648069,420000045;338774,610000008;1405837,88000007
310770:MG-BOM JESUS DO AMPARO;15486,8600000031;43963,3000000007;12630,9000000022;0;464810,710000015;1983304,62999998;583903,439999961;323358,470000002;3427458,30999996
310780:MG-BOM JESUS DO GALHO;4775,33000000007;2172,2900000005;0;1100;364624,59000006;320819,860000011;850875,939999977;167081,099999992;1711449,11000004
310790:MG-BOM REPOUSO;0;118324,830000003;0;14610,7200000007;409782,059999989;210776,110000007;855187,479999921;231389,979999993;1840071,17999991
310800:MG-BOM SUCESSO;19579,4099999983;402707,800000009;58634,3500000034;28026,9300000072;991627,320000037;901840,460000009;1250579,39000008;800116,709999982;4453112,37000013
310810:MG-BONFIM;4843,91000000015;191475,30000001;0;1800;180329,43000002;199401,829999995;541372,680000007;54571,8500000015;1173795,00000003
310820:MG-BONFINOPOLIS DE MINAS;0;41001,0399999972;1049,98000000045;1149,47000000067;265901,419999992;375265,429999983;774067,889999996;925079,360000011;2383514,58999998
310825:MG-BONITO DE MINAS;0;3740;0;0;89024,6900000144;846907,620000024;16489,8100000024;84242,3599999999;1040404,48000004
310830:MG-BORDA DA MATA;0;2137170,18999999;7719,07999999635;13031,6200000001;1052099,58;796900,239999983;1407543,43999994;154737,879999992;5569202,02999991
310840:MG-BOTELHOS;4102,21999999881;313910,309999996;0;74252,3600000031;749464,060000051;1058031,61000001;958818,609999982;1140805,72999992;4299384,89999996
310850:MG-BOTUMIRIM;239388,499999994;63800,9400000218;0;2667,5;41247,1100000022;135277,880000005;451775,5;23520;957677,430000023
