"Código","Unidade Territorial","UF","Referência","Valor repassado aos idosos via Benefício de Prestação Continuada (BPC) por município pagador"
"310060","ÁGUA BOA","MG","08/2021","92400"
"310060","ÁGUA BOA","MG","12/2018","69642"
"310060","ÁGUA BOA","MG","01/2019","73852"
"310060","ÁGUA BOA","MG","02/2019","73852"
"310060","ÁGUA BOA","MG","03/2019","73852"
"310060","ÁGUA BOA","MG","04/2019","73852"
"310060","ÁGUA BOA","MG","05/2019","73852"
"310060","ÁGUA BOA","MG","06/2019","72854"
"310060","ÁGUA BOA","MG","07/2019","71856"
"310060","ÁGUA BOA","MG","08/2019","70858"
"310060","ÁGUA BOA","MG","09/2019","68862"
"310060","ÁGUA BOA","MG","12/2019","69860"
"310060","ÁGUA BOA","MG","10/2019","68862"
"310060","ÁGUA BOA","MG","11/2019","68875.25"
"310060","ÁGUA BOA","MG","01/2020","73769"
"310060","ÁGUA BOA","MG","02/2020","74195"
"310060","ÁGUA BOA","MG","03/2020","78375"
"310060","ÁGUA BOA","MG","04/2020","78375"
"310060","ÁGUA BOA","MG","05/2020","78375"
"310060","ÁGUA BOA","MG","11/2021","91311.3"
"310060","ÁGUA BOA","MG","06/2020","78375.00"
"310060","ÁGUA BOA","MG","07/2020","78375"
"310060","ÁGUA BOA","MG","08/2020","78375"
"310060","ÁGUA BOA","MG","09/2020","81510"
"310060","ÁGUA BOA","MG","10/2020","83600"
"310060","ÁGUA BOA","MG","11/2020","82568.3"
"310060","ÁGUA BOA","MG","12/2020","82555"
"310060","ÁGUA BOA","MG","09/2021","92400"
"310060","ÁGUA BOA","MG","01/2021","85800"
"310060","ÁGUA BOA","MG","02/2021","84700"
"310060","ÁGUA BOA","MG","10/2021","92400"
"310060","ÁGUA BOA","MG","03/2021","85800"
"310060","ÁGUA BOA","MG","04/2021","85800"
"310060","ÁGUA BOA","MG","05/2021","89100"
"310060","ÁGUA BOA","MG","06/2021","86900"
"310060","ÁGUA BOA","MG","07/2021","90200"
"310070","ÁGUA COMPRIDA","MG","11/2019","4990"
"310070","ÁGUA COMPRIDA","MG","12/2021","6600"
"310070","ÁGUA COMPRIDA","MG","11/2021","7700.67"
"310070","ÁGUA COMPRIDA","MG","10/2021","7700"
"310070","ÁGUA COMPRIDA","MG","09/2021","6600"
"310070","ÁGUA COMPRIDA","MG","08/2021","6600"
"310070","ÁGUA COMPRIDA","MG","07/2021","6600"
"310070","ÁGUA COMPRIDA","MG","06/2021","5500"
"310070","ÁGUA COMPRIDA","MG","05/2021","5500"
"310070","ÁGUA COMPRIDA","MG","04/2021","5500"
"310070","ÁGUA COMPRIDA","MG","03/2021","5500"
"310070","ÁGUA COMPRIDA","MG","02/2021","5500"
"310070","ÁGUA COMPRIDA","MG","01/2021","5500"
"310070","ÁGUA COMPRIDA","MG","12/2020","5225"
"310070","ÁGUA COMPRIDA","MG","11/2020","5225"
"310070","ÁGUA COMPRIDA","MG","10/2020","5225"
"310070","ÁGUA COMPRIDA","MG","09/2020","5225"
"310070","ÁGUA COMPRIDA","MG","08/2020","5225"
"310070","ÁGUA COMPRIDA","MG","07/2020","5225"
"310070","ÁGUA COMPRIDA","MG","06/2020","5225.00"
"310070","ÁGUA COMPRIDA","MG","05/2020","5225"
"310070","ÁGUA COMPRIDA","MG","04/2020","6270"
"310070","ÁGUA COMPRIDA","MG","03/2020","6270"
"310070","ÁGUA COMPRIDA","MG","02/2020","5225"
"310070","ÁGUA COMPRIDA","MG","01/2020","5195"
"310070","ÁGUA COMPRIDA","MG","10/2019","5988"
"310070","ÁGUA COMPRIDA","MG","09/2019","5988"
"310070","ÁGUA COMPRIDA","MG","08/2019","5988"
"310070","ÁGUA COMPRIDA","MG","07/2019","6986"
"310070","ÁGUA COMPRIDA","MG","06/2019","6986"
"310070","ÁGUA COMPRIDA","MG","05/2019","6986"
"310070","ÁGUA COMPRIDA","MG","04/2019","6986"
"310070","ÁGUA COMPRIDA","MG","03/2019","6986"
"310070","ÁGUA COMPRIDA","MG","02/2019","6986"
"310070","ÁGUA COMPRIDA","MG","01/2019","7984"
"310070","ÁGUA COMPRIDA","MG","12/2018","7632"
"310070","ÁGUA COMPRIDA","MG","11/2018","7632"
"310070","ÁGUA COMPRIDA","MG","10/2018","7632"
"310070","ÁGUA COMPRIDA","MG","09/2018","7632"
"310070","ÁGUA COMPRIDA","MG","08/2018","7632"
"310070","ÁGUA COMPRIDA","MG","07/2018","7632"
"310070","ÁGUA COMPRIDA","MG","06/2018","7632.00"
"310070","ÁGUA COMPRIDA","MG","05/2018","7632"
"310070","ÁGUA COMPRIDA","MG","04/2018","7632"
"310070","ÁGUA COMPRIDA","MG","03/2018","7632"
"310070","ÁGUA COMPRIDA","MG","02/2018","7632"
"310070","ÁGUA COMPRIDA","MG","01/2018","7632"
"310070","ÁGUA COMPRIDA","MG","12/2019","4990"
"310080","AGUANIL","MG","05/2019","19960"
"310080","AGUANIL","MG","04/2019","19960"
"310080","AGUANIL","MG","08/2019","18962"
"310080","AGUANIL","MG","03/2019","20958"
"310080","AGUANIL","MG","02/2019","20958"
"310080","AGUANIL","MG","01/2019","19960"
"310080","AGUANIL","MG","12/2018","20034"
"310080","AGUANIL","MG","11/2018","20032.64"
"310080","AGUANIL","MG","10/2018","20034"
"310080","AGUANIL","MG","09/2018","20034"
"310080","AGUANIL","MG","08/2018","20988"
"310080","AGUANIL","MG","07/2018","20988"
"310080","AGUANIL","MG","06/2018","20988.00"
"310080","AGUANIL","MG","05/2018","20988"
"310080","AGUANIL","MG","04/2018","21942"
"310080","AGUANIL","MG","12/2019","18962"
